BruceHayes2007	syllabic	stress	long	consonantal	sonorant	continuant	delayed_release	approximant	tap	trill	nasal	voice	spread_gl	constr_gl	LABIAL	round	labiodental	CORONAL	anterior	distributed	strident	lateral	DORSAL	high	low	front	back	tense
ø	 1	-1	-1	-1	 1	 1	 0	 1	-1	-1	-1	 1	-1	-1	 1	 1	-1	-1	 0	 0	 0	-1	 1	-1	-1	 1	-1	 1
ɛ	 1	-1	-1	-1	 1	 1	 0	 1	-1	-1	-1	 1	-1	-1	-1	-1	-1	-1	 0	 0	 0	-1	 1	-1	-1	 1	-1	-1
ɵ	 1	-1	-1	-1	 1	 1	 0	 1	-1	-1	-1	 1	-1	-1	 1	 1	-1	-1	 0	 0	 0	-1	 1	-1	-1	-1	-1	 1
ɯ	 1	-1	-1	-1	 1	 1	 0	 1	-1	-1	-1	 1	-1	-1	-1	-1	-1	-1	 0	 0	 0	-1	 1	 1	-1	-1	 1	 1
u	 1	-1	-1	-1	 1	 1	 0	 1	-1	-1	-1	 1	-1	-1	 1	 1	-1	-1	 0	 0	 0	-1	 1	 1	-1	-1	 1	 1
ʊ	 1	-1	-1	-1	 1	 1	 0	 1	-1	-1	-1	 1	-1	-1	 1	 1	-1	-1	 0	 0	 0	-1	 1	 1	-1	-1	 1	-1
ɨ	 1	-1	-1	-1	 1	 1	 0	 1	-1	-1	-1	 1	-1	-1	-1	-1	-1	-1	 0	 0	 0	-1	 1	 1	-1	-1	-1	 1
ʉ	 1	-1	-1	-1	 1	 1	 0	 1	-1	-1	-1	 1	-1	-1	 1	 1	-1	-1	 0	 0	 0	-1	 1	 1	-1	-1	-1	 1
y	 1	-1	-1	-1	 1	 1	 0	 1	-1	-1	-1	 1	-1	-1	 1	 1	-1	-1	 0	 0	 0	-1	 1	 1	-1	 1	-1	 1
i	 1	-1	-1	-1	 1	 1	 0	 1	-1	-1	-1	 1	-1	-1	-1	-1	-1	-1	 0	 0	 0	-1	 1	 1	-1	 1	-1	 1
ʏ	 1	-1	-1	-1	 1	 1	 0	 1	-1	-1	-1	 1	-1	-1	 1	 1	-1	-1	 0	 0	 0	-1	 1	 1	-1	 1	-1	-1
ɪ	 1	-1	-1	-1	 1	 1	 0	 1	-1	-1	-1	 1	-1	-1	-1	-1	-1	-1	 0	 0	 0	-1	 1	 1	-1	 1	-1	-1
ŋ̟	-1	-1	-1	 1	 1	-1	 0	-1	-1	-1	 1	 1	-1	-1	-1	-1	-1	-1	 0	 0	 0	-1	 1	 1	-1	 1	-1	 0
ʟ̟	-1	-1	-1	 1	 1	 1	 0	 1	-1	-1	-1	 1	-1	-1	-1	-1	-1	-1	 0	 0	 0	 1	 1	 1	-1	 1	-1	 0
ɫ	-1	-1	-1	 1	 1	 1	 0	 1	-1	-1	-1	 1	-1	-1	-1	-1	-1	 1	 1	-1	-1	 1	 1	-1	-1	-1	 1	 0
ɴ	-1	-1	-1	 1	 1	-1	 0	-1	-1	-1	 1	 1	-1	-1	-1	-1	-1	-1	 0	 0	 0	-1	 1	-1	-1	-1	 1	 0
ʀ	-1	-1	-1	 1	 1	 1	 0	 1	-1	 1	-1	 1	-1	-1	-1	-1	-1	-1	 0	 0	 0	-1	 1	-1	-1	-1	 1	 0
ɲ	-1	-1	-1	 1	 1	-1	 0	-1	-1	-1	 1	 1	-1	-1	-1	-1	-1	 1	-1	 1	-1	-1	 1	 1	-1	 1	-1	 0
ʎ	-1	-1	-1	 1	 1	 1	 0	 1	-1	-1	-1	 1	-1	-1	-1	-1	-1	 1	-1	 1	-1	 1	 1	 1	-1	 1	-1	 0
ŋ	-1	-1	-1	 1	 1	-1	 0	-1	-1	-1	 1	 1	-1	-1	-1	-1	-1	-1	 0	 0	 0	-1	 1	 1	-1	 0	 0	 0
ŋ̠	-1	-1	-1	 1	 1	-1	 0	-1	-1	-1	 1	 1	-1	-1	-1	-1	-1	-1	 0	 0	 0	-1	 1	 1	-1	-1	 1	 0
ʟ	-1	-1	-1	 1	 1	 1	 0	 1	-1	-1	-1	 1	-1	-1	-1	-1	-1	-1	 0	 0	 0	 1	 1	 1	-1	 0	 0	 0
ʟ̠	-1	-1	-1	 1	 1	 1	 0	 1	-1	-1	-1	 1	-1	-1	-1	-1	-1	-1	 0	 0	 0	 1	 1	 1	-1	-1	 1	 0
ɳ	-1	-1	-1	 1	 1	-1	 0	-1	-1	-1	 1	 1	-1	-1	-1	-1	-1	 1	-1	-1	-1	-1	-1	 0	 0	 0	 0	 0
ʙ	-1	-1	-1	 1	 1	 1	 0	 1	-1	 1	-1	 1	-1	-1	 1	-1	-1	-1	 0	 0	 0	-1	-1	 0	 0	 0	 0	 0
ɭ	-1	-1	-1	 1	 1	 1	 0	 1	-1	-1	-1	 1	-1	-1	-1	-1	-1	 1	-1	-1	-1	 1	-1	 0	 0	 0	 0	 0
ɺ	-1	-1	-1	 1	 1	 1	 0	 1	 1	-1	-1	 1	-1	-1	-1	-1	-1	 1	 1	-1	-1	 1	-1	 0	 0	 0	 0	 0
ɻ	-1	-1	-1	 1	 1	 1	 0	 1	-1	-1	-1	 1	-1	-1	-1	-1	-1	 1	-1	-1	-1	-1	-1	 0	 0	 0	 0	 0
ɽ	-1	-1	-1	 1	 1	 1	 0	 1	 1	-1	-1	 1	-1	-1	-1	-1	-1	 1	-1	-1	-1	-1	-1	 0	 0	 0	 0	 0
r	-1	-1	-1	 1	 1	 1	 0	 1	-1	 1	-1	 1	-1	-1	-1	-1	-1	 1	 1	-1	-1	-1	-1	 0	 0	 0	 0	 0
n	-1	-1	-1	 1	 1	-1	 0	-1	-1	-1	 1	 1	-1	-1	-1	-1	-1	 1	 1	-1	-1	-1	-1	 0	 0	 0	 0	 0
m	-1	-1	-1	 1	 1	-1	 0	-1	-1	-1	 1	 1	-1	-1	 1	-1	-1	-1	 0	 0	 0	-1	-1	 0	 0	 0	 0	 0
l	-1	-1	-1	 1	 1	 1	 0	 1	-1	-1	-1	 1	-1	-1	-1	-1	-1	 1	 1	-1	-1	 1	-1	 0	 0	 0	 0	 0
ɾ	-1	-1	-1	 1	 1	 1	 0	 1	 1	-1	-1	 1	-1	-1	-1	-1	-1	 1	 1	-1	-1	-1	-1	 0	 0	 0	 0	 0
ɱ	-1	-1	-1	 1	 1	-1	 0	-1	-1	-1	 1	 1	-1	-1	 1	-1	 1	-1	 0	 0	 0	-1	-1	 0	 0	 0	 0	 0
ʔ	-1	-1	-1	 1	-1	-1	-1	-1	-1	-1	-1	-1	-1	 1	-1	-1	-1	-1	 0	 0	 0	-1	-1	 0	 0	 0	 0	 0
ɣ̟	-1	-1	-1	 1	-1	 1	 1	-1	-1	-1	-1	 1	-1	-1	-1	-1	-1	-1	 0	 0	 0	-1	 1	 1	-1	 1	-1	 0
x̟	-1	-1	-1	 1	-1	 1	 1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	 0	 0	 0	-1	 1	 1	-1	 1	-1	 0
k̟	-1	-1	-1	 1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	 0	 0	 0	-1	 1	 1	-1	 1	-1	 0
ɡ̟	-1	-1	-1	 1	-1	-1	-1	-1	-1	-1	-1	 1	-1	-1	-1	-1	-1	-1	 0	 0	 0	-1	 1	 1	-1	 1	-1	 0
k̟͡x̟	-1	-1	-1	 1	-1	-1	 1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	 0	 0	 0	-1	 1	 1	-1	 1	-1	 0
ɡ̟͡ɣ̟	-1	-1	-1	 1	-1	-1	 1	-1	-1	-1	-1	 1	-1	-1	-1	-1	-1	-1	 0	 0	 0	-1	 1	 1	-1	 1	-1	 0
ħ	-1	-1	-1	 1	-1	 1	 1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	 0	 0	 0	-1	 1	-1	 1	-1	 1	 0
ʕ	-1	-1	-1	 1	-1	 1	-1	-1	-1	-1	-1	 1	-1	-1	-1	-1	-1	-1	 0	 0	 0	-1	 1	-1	 1	-1	 1	 0
ʁ	-1	-1	-1	 1	-1	 1	 1	-1	-1	-1	-1	 1	-1	-1	-1	-1	-1	-1	 0	 0	 0	-1	 1	-1	-1	-1	 1	 0
q	-1	-1	-1	 1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	 0	 0	 0	-1	 1	-1	-1	-1	 1	 0
χ	-1	-1	-1	 1	-1	 1	 1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	 0	 0	 0	-1	 1	-1	-1	-1	 1	 0
ɢ	-1	-1	-1	 1	-1	-1	-1	-1	-1	-1	-1	 1	-1	-1	-1	-1	-1	-1	 0	 0	 0	-1	 1	-1	-1	-1	 1	 0
ɕ	-1	-1	-1	 1	-1	 1	 1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	 1	 1	 1	 1	-1	 1	 1	-1	 1	-1	 0
ɟ	-1	-1	-1	 1	-1	-1	-1	-1	-1	-1	-1	 1	-1	-1	-1	-1	-1	 1	-1	 1	-1	-1	 1	 1	-1	 1	-1	 0
ʝ	-1	-1	-1	 1	-1	 1	 1	-1	-1	-1	-1	 1	-1	-1	-1	-1	-1	 1	-1	 1	-1	-1	 1	 1	-1	 1	-1	 0
c	-1	-1	-1	 1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	 1	-1	 1	-1	-1	 1	 1	-1	 1	-1	 0
ç	-1	-1	-1	 1	-1	 1	 1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	 1	-1	 1	-1	-1	 1	 1	-1	 1	-1	 0
d͡ʑ	-1	-1	-1	 1	-1	-1	 1	-1	-1	-1	-1	 1	-1	-1	-1	-1	-1	 1	 1	 1	 1	-1	 1	 1	-1	 1	-1	 0
t͡ɕ	-1	-1	-1	 1	-1	-1	 1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	 1	 1	 1	 1	-1	 1	 1	-1	 1	-1	 0
ɣ	-1	-1	-1	 1	-1	 1	 1	-1	-1	-1	-1	 1	-1	-1	-1	-1	-1	-1	 0	 0	 0	-1	 1	 1	-1	 0	 0	 0
ɣ̠	-1	-1	-1	 1	-1	 1	 1	-1	-1	-1	-1	 1	-1	-1	-1	-1	-1	-1	 0	 0	 0	-1	 1	 1	-1	-1	 1	 0
x	-1	-1	-1	 1	-1	 1	 1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	 0	 0	 0	-1	 1	 1	-1	 0	 0	 0
x̠	-1	-1	-1	 1	-1	 1	 1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	 0	 0	 0	-1	 1	 1	-1	-1	 1	 0
k	-1	-1	-1	 1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	 0	 0	 0	-1	 1	 1	-1	 0	 0	 0
k̠	-1	-1	-1	 1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	 0	 0	 0	-1	 1	 1	-1	-1	 1	 0
ɡ	-1	-1	-1	 1	-1	-1	-1	-1	-1	-1	-1	 1	-1	-1	-1	-1	-1	-1	 0	 0	 0	-1	 1	 1	-1	 0	 0	 0
ɡ̠	-1	-1	-1	 1	-1	-1	-1	-1	-1	-1	-1	 1	-1	-1	-1	-1	-1	-1	 0	 0	 0	-1	 1	 1	-1	-1	 1	 0
ʑ	-1	-1	-1	 1	-1	 1	 1	-1	-1	-1	-1	 1	-1	-1	-1	-1	-1	 1	 1	 1	 1	-1	 1	 1	-1	 1	-1	 0
ʈ	-1	-1	-1	 1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	 1	-1	-1	-1	-1	-1	 0	 0	 0	 0	 0
ɖ	-1	-1	-1	 1	-1	-1	-1	-1	-1	-1	-1	 1	-1	-1	-1	-1	-1	 1	-1	-1	-1	-1	-1	 0	 0	 0	 0	 0
ɬ	-1	-1	-1	 1	-1	 1	 1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	 1	 1	-1	-1	 1	-1	 0	 0	 0	 0	 0
ʐ	-1	-1	-1	 1	-1	 1	 1	-1	-1	-1	-1	 1	-1	-1	-1	-1	-1	 1	-1	-1	 1	-1	-1	 0	 0	 0	 0	 0
ɸ	-1	-1	-1	 1	-1	 1	 1	-1	-1	-1	-1	-1	-1	-1	 1	-1	-1	-1	 0	 0	 0	-1	-1	 0	 0	 0	 0	 0
ʂ	-1	-1	-1	 1	-1	 1	 1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	 1	-1	-1	 1	-1	-1	 0	 0	 0	 0	 0
ʒ	-1	-1	-1	 1	-1	 1	 1	-1	-1	-1	-1	 1	-1	-1	-1	-1	-1	 1	-1	 1	 1	-1	-1	 0	 0	 0	 0	 0
z	-1	-1	-1	 1	-1	 1	 1	-1	-1	-1	-1	 1	-1	-1	-1	-1	-1	 1	 1	-1	 1	-1	-1	 0	 0	 0	 0	 0
v	-1	-1	-1	 1	-1	 1	 1	-1	-1	-1	-1	 1	-1	-1	 1	-1	 1	-1	 0	 0	 0	-1	-1	 0	 0	 0	 0	 0
t	-1	-1	-1	 1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	 1	 1	-1	-1	-1	-1	 0	 0	 0	 0	 0
ʃ	-1	-1	-1	 1	-1	 1	 1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	 1	-1	 1	 1	-1	-1	 0	 0	 0	 0	 0
s	-1	-1	-1	 1	-1	 1	 1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	 1	 1	-1	 1	-1	-1	 0	 0	 0	 0	 0
p	-1	-1	-1	 1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	 1	-1	-1	-1	 0	 0	 0	-1	-1	 0	 0	 0	 0	 0
f	-1	-1	-1	 1	-1	 1	 1	-1	-1	-1	-1	-1	-1	-1	 1	-1	 1	-1	 0	 0	 0	-1	-1	 0	 0	 0	 0	 0
d	-1	-1	-1	 1	-1	-1	-1	-1	-1	-1	-1	 1	-1	-1	-1	-1	-1	 1	 1	-1	-1	-1	-1	 0	 0	 0	 0	 0
b	-1	-1	-1	 1	-1	-1	-1	-1	-1	-1	-1	 1	-1	-1	 1	-1	-1	-1	 0	 0	 0	-1	-1	 0	 0	 0	 0	 0
θ	-1	-1	-1	 1	-1	 1	 1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	 1	 1	 1	-1	-1	-1	 0	 0	 0	 0	 0
ɮ	-1	-1	-1	 1	-1	 1	 1	-1	-1	-1	-1	 1	-1	-1	-1	-1	-1	 1	 1	-1	-1	 1	-1	 0	 0	 0	 0	 0
ð	-1	-1	-1	 1	-1	 1	 1	-1	-1	-1	-1	 1	-1	-1	-1	-1	-1	 1	 1	 1	-1	-1	-1	 0	 0	 0	 0	 0
β	-1	-1	-1	 1	-1	 1	 1	-1	-1	-1	-1	 1	-1	-1	 1	-1	-1	-1	 0	 0	 0	-1	-1	 0	 0	 0	 0	 0
d͡ʒ	-1	-1	-1	 1	-1	-1	 1	-1	-1	-1	-1	 1	-1	-1	-1	-1	-1	 1	-1	 1	 1	-1	-1	 0	 0	 0	 0	 0
d͡z	-1	-1	-1	 1	-1	-1	 1	-1	-1	-1	-1	 1	-1	-1	-1	-1	-1	 1	 1	-1	 1	-1	-1	 0	 0	 0	 0	 0
d͡ɮ	-1	-1	-1	 1	-1	-1	 1	-1	-1	-1	-1	 1	-1	-1	-1	-1	-1	 1	 1	-1	-1	 1	-1	 0	 0	 0	 0	 0
d̠͡ɮ̠	-1	-1	-1	 1	-1	-1	 1	-1	-1	-1	-1	 1	-1	-1	-1	-1	-1	 1	-1	 1	-1	 1	-1	 0	 0	 0	 0	 0
t͡ʃ	-1	-1	-1	 1	-1	-1	 1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	 1	-1	 1	 1	-1	-1	 0	 0	 0	 0	 0
t̠͡ɬ̠	-1	-1	-1	 1	-1	-1	 1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	 1	-1	 1	-1	 1	-1	 0	 0	 0	 0	 0
t͡s	-1	-1	-1	 1	-1	-1	 1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	 1	 1	-1	 1	-1	-1	 0	 0	 0	 0	 0
t͡ɬ	-1	-1	-1	 1	-1	-1	 1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	 1	 1	-1	-1	 1	-1	 0	 0	 0	 0	 0
t̪͡s̪	-1	-1	-1	 1	-1	-1	 1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	 1	 1	 1	 1	-1	-1	 0	 0	 0	 0	 0
t̪͡ɬ̪	-1	-1	-1	 1	-1	-1	 1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	 1	 1	 1	-1	 1	-1	 0	 0	 0	 0	 0
d̪͡z̪	-1	-1	-1	 1	-1	-1	 1	-1	-1	-1	-1	 1	-1	-1	-1	-1	-1	 1	 1	 1	 1	-1	-1	 0	 0	 0	 0	 0
d̪͡ɮ̪	-1	-1	-1	 1	-1	-1	 1	-1	-1	-1	-1	 1	-1	-1	-1	-1	-1	 1	 1	 1	-1	 1	-1	 0	 0	 0	 0	 0
ʈ͡ʂ	-1	-1	-1	 1	-1	-1	 1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	 1	-1	-1	 1	-1	-1	 0	 0	 0	 0	 0
ɖ͡ʐ	-1	-1	-1	 1	-1	-1	 1	-1	-1	-1	-1	 1	-1	-1	-1	-1	-1	 1	-1	-1	 1	-1	-1	 0	 0	 0	 0	 0
p͡f	-1	-1	-1	 1	-1	-1	 1	-1	-1	-1	-1	-1	-1	-1	 1	-1	 1	-1	 0	 0	 0	-1	-1	 0	 0	 0	 0	 0
b͡v	-1	-1	-1	 1	-1	-1	 1	-1	-1	-1	-1	 1	-1	-1	 1	-1	 1	-1	 0	 0	 0	-1	-1	 0	 0	 0	 0	 0
p͡ɸ	-1	-1	-1	 1	-1	-1	 1	-1	-1	-1	-1	-1	-1	-1	 1	-1	-1	-1	 0	 0	 0	-1	-1	 0	 0	 0	 0	 0
b͡β	-1	-1	-1	 1	-1	-1	 1	-1	-1	-1	-1	 1	-1	-1	 1	-1	-1	-1	 0	 0	 0	-1	-1	 0	 0	 0	 0	 0
t̪͡θ	-1	-1	-1	 1	-1	-1	 1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	 1	 1	 1	-1	-1	-1	 0	 0	 0	 0	 0
d̪͡ð	-1	-1	-1	 1	-1	-1	 1	-1	-1	-1	-1	 1	-1	-1	-1	-1	-1	 1	 1	 1	-1	-1	-1	 0	 0	 0	 0	 0
c͡ç	-1	-1	-1	 1	-1	-1	 1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	 1	-1	 1	-1	-1	 1	 1	-1	 1	-1	 0
ɟ͡ʝ	-1	-1	-1	 1	-1	-1	 1	-1	-1	-1	-1	 1	-1	-1	-1	-1	-1	 1	-1	 1	-1	-1	 1	 1	-1	 1	-1	 0
k͡x	-1	-1	-1	 1	-1	-1	 1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	 0	 0	 0	-1	 1	 1	-1	 0	 0	 0
k̠͡x̠	-1	-1	-1	 1	-1	-1	 1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	 0	 0	 0	-1	 1	 1	-1	-1	 1	 0
ɡ͡ɣ	-1	-1	-1	 1	-1	-1	 1	-1	-1	-1	-1	 1	-1	-1	-1	-1	-1	-1	 0	 0	 0	-1	 1	 1	-1	 0	 0	 0
ɡ̠͡ɣ̠	-1	-1	-1	 1	-1	-1	 1	-1	-1	-1	-1	 1	-1	-1	-1	-1	-1	-1	 0	 0	 0	-1	 1	 1	-1	-1	 1	 0
q͡χ	-1	-1	-1	 1	-1	-1	 1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	 0	 0	 0	-1	 1	-1	-1	-1	 1	 0
ɢ͡ʁ	-1	-1	-1	 1	-1	-1	 1	-1	-1	-1	-1	 1	-1	-1	-1	-1	-1	-1	 0	 0	 0	-1	 1	-1	-1	-1	 1	 0
ɧ	-1	-1	-1	 1	-1	 1	 1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	 1	-1	 1	 1	-1	 1	 1	-1	 0	 0	 0
k͡p	-1	-1	-1	 1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	 1	-1	-1	-1	 0	 0	 0	-1	 1	 1	-1	 0	 0	 0
ɡ͡b	-1	-1	-1	 1	-1	-1	-1	-1	-1	-1	-1	 1	-1	-1	 1	-1	-1	-1	 0	 0	 0	-1	 1	 1	-1	 0	 0	 0
p͡t	-1	-1	-1	 1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	 1	-1	-1	 1	 1	-1	 1	-1	-1	 0	 0	 0	 0	 0
b͡d	-1	-1	-1	 1	-1	-1	-1	-1	-1	-1	-1	 1	-1	-1	 1	-1	-1	 1	 1	-1	 1	-1	-1	 0	 0	 0	 0	 0
ɰ	-1	-1	-1	-1	 1	 1	 0	 1	-1	-1	-1	 1	-1	-1	-1	-1	-1	-1	 0	 0	 0	-1	 1	 1	-1	 0	 0	 1
ɰ̠	-1	-1	-1	-1	 1	 1	 0	 1	-1	-1	-1	 1	-1	-1	-1	-1	-1	-1	 0	 0	 0	-1	 1	 1	-1	-1	 1	 1
w	-1	-1	-1	-1	 1	 1	 0	 1	-1	-1	-1	 1	-1	-1	 1	 1	-1	-1	 0	 0	 0	-1	 1	 1	-1	-1	 1	 1
ɥ	-1	-1	-1	-1	 1	 1	 0	 1	-1	-1	-1	 1	-1	-1	 1	 1	-1	-1	 0	 0	 0	-1	 1	 1	-1	 1	-1	 1
j	-1	-1	-1	-1	 1	 1	 0	 1	-1	-1	-1	 1	-1	-1	-1	-1	-1	-1	 0	 0	 0	-1	 1	 1	-1	 1	-1	 1
ɹ	-1	-1	-1	-1	 1	 1	 0	 1	-1	-1	-1	 1	-1	-1	-1	-1	-1	 1	-1	 1	-1	-1	-1	 0	 0	 0	 0	 0
ʋ	-1	-1	-1	-1	 1	 1	 0	 1	-1	-1	-1	 1	-1	-1	 1	-1	 1	-1	 0	 0	 0	-1	-1	 0	 0	 0	 0	 0
ʍ	-1	-1	-1	-1	-1	 1	 1	-1	-1	-1	-1	-1	 1	-1	 1	 1	-1	-1	 0	 0	 0	-1	 1	 1	-1	-1	 1	 1
ɦ	-1	-1	-1	-1	-1	 1	 1	-1	-1	-1	-1	 1	 1	-1	-1	-1	-1	-1	 0	 0	 0	-1	-1	 0	 0	 0	 0	 0
h	-1	-1	-1	-1	-1	 1	 1	-1	-1	-1	-1	-1	 1	-1	-1	-1	-1	-1	 0	 0	 0	-1	-1	 0	 0	 0	 0	 0
m̩	 1	-1	-1	 1	 1	-1	 0	-1	-1	-1	 1	 1	-1	-1	 1	-1	-1	-1	 0	 0	 0	-1	-1	 0	 0	 0	 0	 0
n̩	 1	-1	-1	 1	 1	-1	 0	-1	-1	-1	 1	 1	-1	-1	-1	-1	-1	 1	 1	-1	-1	-1	-1	 0	 0	 0	 0	 0
ɾ̃	-1	-1	-1	 1	 1	 1	 0	 1	 1	-1	 1	 1	-1	-1	-1	-1	-1	 1	 1	-1	-1	-1	-1	 0	 0	 0	 0	 0
l̩	 1	-1	-1	 1	 1	 1	 0	 1	-1	-1	-1	 1	-1	-1	-1	-1	-1	 1	 1	-1	-1	 1	-1	 0	 0	 0	 0	 0
ŋ̩	 1	-1	-1	 1	 1	-1	 0	-1	-1	-1	 1	 1	-1	-1	-1	-1	-1	-1	 0	 0	 0	-1	 1	 1	-1	 0	 0	 0
ɪ̈	 1	-1	-1	-1	 1	 1	 0	 1	-1	-1	-1	 1	-1	-1	-1	-1	-1	-1	 0	 0	 0	-1	 1	 1	-1	-1	-1	-1
ə̥	 1	-1	-1	-1	 1	 1	 0	 1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	 0	 0	 0	-1	 1	-1	-1	-1	-1	 0
ə˞	 1	-1	-1	 1	 1	 1	 0	 1	-1	-1	-1	 1	-1	-1	-1	-1	-1	 1	-1	-1	-1	-1	 1	-1	-1	-1	-1	 0
ɘ˞	 1	-1	-1	 1	 1	 1	 0	 1	-1	-1	-1	 1	-1	-1	-1	-1	-1	 1	-1	-1	-1	-1	 1	-1	-1	-1	-1	 1
pʰ	-1	-1	-1	 1	-1	-1	-1	-1	-1	-1	-1	-1	 1	-1	 1	-1	-1	-1	 0	 0	 0	-1	-1	 0	 0	 0	 0	 0
p͡fʰ	-1	-1	-1	 1	-1	-1	 1	-1	-1	-1	-1	-1	 1	-1	 1	-1	 1	-1	 0	 0	 0	-1	-1	 0	 0	 0	 0	 0
t͡sʰ	-1	-1	-1	 1	-1	-1	 1	-1	-1	-1	-1	-1	 1	-1	-1	-1	-1	 1	 1	-1	 1	-1	-1	 0	 0	 0	 0	 0
