sl_rowIdx	labels	start	end	db_uuid	session	bundle	start_item_id	end_item_id	level	attribute	start_item_seq_idx	end_item_seq_idx	type	sample_start	sample_end	sample_rate	times_orig	times_rel	times_norm	F1	F2	F3	F4	RMS	word_label	check_bundle	word_start	word_end	position_in_word
 29	i	168237.971	168297.971	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	1940	1940	phone	phone	 963	 963	SEGMENT	 7419295	 7421940	44100	168267.971	 30.00000	0.5	349.0	2230.0	2713.0	3502.5	78.22675	minti	mark01vox_ker	168167.971	168517.971	0.2857143
 30	i	168447.971	168517.971	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	1943	1943	phone	phone	 966	 966	SEGMENT	 7428556	 7431642	44100	168482.971	 35.00000	0.5	366.5	2145.0	2751.0	3818.0	78.57994	minti	mark01vox_ker	168167.971	168517.971	0.9000000
 31	iː	173867.971	173947.971	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	1999	1999	phone	phone	1022	1022	SEGMENT	 7667578	 7671105	44100	173907.971	 40.00000	0.5	247.5	2260.5	3082.0	3745.0	77.58619	siinu	mark01vox_ker	173727.971	174037.971	0.5806452
 32	i	190964.977	191024.977	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	2104	2104	phone	phone	1127	1127	SEGMENT	 8421556	 8424201	44100	190994.977	 30.00000	0.5	406.5	2168.5	2638.0	3590.0	76.45014	minti	mark01vox_ker	190924.977	191164.977	0.2916667
 33	i	191124.977	191164.977	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	2107	2107	phone	phone	1130	1130	SEGMENT	 8428612	 8430375	44100	191144.977	 20.00000	0.5	338.0	2154.0	2916.0	3811.0	76.27110	minti	mark01vox_ker	190924.977	191164.977	0.9166667
 34	iː	198634.977	198724.977	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	2172	2172	phone	phone	1195	1195	SEGMENT	 8759803	 8763771	44100	198679.977	 45.00000	0.5	313.0	2172.0	2874.0	3648.0	77.10456	siinu	mark01vox_ker	198514.977	198834.977	0.5156250
 35	iː	200554.977	200664.977	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	2187	2187	phone	phone	1210	1210	SEGMENT	 8844475	 8849325	44100	200609.977	 55.00000	0.5	317.5	2334.5	2915.0	3681.5	78.35205	giidə	mark01vox_ker	200444.977	201004.977	0.2946429
 36	i	205004.977	205064.977	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	2237	2237	phone	phone	1260	1260	SEGMENT	 9040720	 9043365	44100	205034.977	 30.00000	0.5	367.5	2312.0	3228.5	3659.5	78.94051	minti	mark01vox_ker	204964.977	205404.977	0.1590909
 37	i	205194.977	205404.977	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	2240	2240	phone	phone	1263	1263	SEGMENT	 9049099	 9058359	44100	205299.977	105.00000	0.5	333.0	2313.0	2987.0	3745.5	78.81641	minti	mark01vox_ker	204964.977	205404.977	0.7613636
 38	iː	208814.977	208894.977	ba65e7cc-4dd3-11ea-84ec-ed04386a11f4	0000	mark01vox_ker	2269	2269	phone	phone	1292	1292	SEGMENT	 9208741	 9212268	44100	208854.977	 40.00000	0.5	315.0	2180.0	2874.0	3601.0	77.18672	siinu	mark01vox_ker	208654.977	208994.977	0.5882353
