sl_rowIdx	labels	start	end	db_uuid	session	bundle	start_item_id	end_item_id	level	attribute	start_item_seq_idx	end_item_seq_idx	type	sample_start	sample_end	sample_rate	times_orig	times_rel	times_norm	F1	F2	F3	F4	RMS	word_label	check_bundle	word_start	word_end	position_in_word
132	i	 64569.966	 64639.989	22242746-4dd6-11ea-9772-73579cec3763	0000	mark14vox_ker	1913	1913	phone	phone	 507	 507	SEGMENT	 2847536	 2850623	44100	 64604.977	 35.01134	0.5	 347.5	2356.5	2789.0	4034.0	75.51238	yakyakyaki	mark14vox_ker	 64029.989	 64639.989	0.94260436
133	i	130089.989	130119.989	22242746-4dd6-11ea-9772-73579cec3763	0000	mark14vox_ker	2014	2014	phone	phone	 608	 608	SEGMENT	 5736969	 5738291	44100	130104.989	 15.00000	0.5	 257.5	2148.5	2837.5	   0.0	59.93014	zudasi	mark14vox_ker	129569.989	130119.989	0.97272727
134	i	130119.989	130149.989	22242746-4dd6-11ea-9772-73579cec3763	0000	mark14vox_ker	2015	2015	phone	phone	 609	 609	SEGMENT	 5738292	 5739614	44100	130134.989	 15.00000	0.5	 292.0	2176.5	2726.5	   0.0	63.72071	iskariyoti	mark14vox_ker	130119.989	130839.989	0.02083333
135	i	130439.989	130469.989	22242746-4dd6-11ea-9772-73579cec3763	0000	mark14vox_ker	2020	2020	phone	phone	 614	 614	SEGMENT	 5752404	 5753726	44100	130454.989	 15.00000	0.5	 429.0	2032.5	2612.0	3799.5	78.01417	iskariyoti	mark14vox_ker	130119.989	130839.989	0.46527778
136	i	130669.966	130839.989	22242746-4dd6-11ea-9772-73579cec3763	0000	mark14vox_ker	2024	2024	phone	phone	 618	 618	SEGMENT	 5762546	 5770043	44100	130754.977	 85.01134	0.5	 373.0	2285.0	2875.5	3889.5	74.83572	iskariyoti	mark14vox_ker	130119.989	130839.989	0.88192870
137	i	133679.989	133719.989	22242746-4dd6-11ea-9772-73579cec3763	0000	mark14vox_ker	2052	2052	phone	phone	 646	 646	SEGMENT	 5895288	 5897051	44100	133699.989	 20.00000	0.5	 369.0	2032.0	2590.0	3803.0	70.43046	ɓasi	mark14vox_ker	133329.989	133719.989	0.94871795
138	i	153069.989	153169.966	22242746-4dd6-11ea-9772-73579cec3763	0000	mark14vox_ker	2233	2233	phone	phone	 827	 827	SEGMENT	 6750387	 6754795	44100	153119.977	 49.98866	0.5	 442.0	2312.5	2946.0	3930.5	74.39281	mi	mark14vox_ker	152989.989	153169.966	0.72225022
139	i	160339.989	160389.966	22242746-4dd6-11ea-9772-73579cec3763	0000	mark14vox_ker	2291	2291	phone	phone	 885	 885	SEGMENT	 7070994	 7073197	44100	160364.977	 24.98866	0.5	 401.0	2315.0	2953.5	3733.5	73.89237	hi	mark14vox_ker	160279.989	160389.966	0.77278351
140	i	167129.989	167249.989	22242746-4dd6-11ea-9772-73579cec3763	0000	mark14vox_ker	2360	2360	phone	phone	 954	 954	SEGMENT	 7370433	 7375724	44100	167189.989	 60.00000	0.5	 400.5	2281.0	2864.0	3999.0	78.11415	pakiŋ	mark14vox_ker	166859.989	167369.989	0.64705882
141	i	178169.966	178289.989	22242746-4dd6-11ea-9772-73579cec3763	0000	mark14vox_ker	2416	2416	phone	phone	1010	1010	SEGMENT	 7857296	 7862588	44100	178229.977	 60.01134	0.5	 321.5	2256.0	2916.5	3895.0	72.75223	ɓasi	mark14vox_ker	177869.989	178289.989	0.85711586
142	i	214109.989	214179.989	22242746-4dd6-11ea-9772-73579cec3763	0000	mark14vox_ker	2480	2480	phone	phone	1074	1074	SEGMENT	 9442251	 9445337	44100	214144.989	 35.00000	0.5	 349.0	2220.0	2733.5	3647.5	77.47150	vila	mark14vox_ker	214029.989	214429.989	0.28750000
143	i	216419.989	216459.989	22242746-4dd6-11ea-9772-73579cec3763	0000	mark14vox_ker	2500	2500	phone	phone	1094	1094	SEGMENT	 9544122	 9545885	44100	216439.989	 20.00000	0.5	 357.5	2208.5	2885.5	3975.0	71.11220	damdi	mark14vox_ker	216139.989	216459.989	0.93750000
144	i	217389.989	217469.989	22242746-4dd6-11ea-9772-73579cec3763	0000	mark14vox_ker	2514	2514	phone	phone	1108	1108	SEGMENT	 9586899	 9590426	44100	217429.989	 40.00000	0.5	 320.0	2255.0	2724.5	3853.0	74.92508	di	mark14vox_ker	217329.989	217469.989	0.71428571
145	i	220079.989	220119.989	22242746-4dd6-11ea-9772-73579cec3763	0000	mark14vox_ker	2546	2546	phone	phone	1140	1140	SEGMENT	 9705528	 9707291	44100	220099.989	 20.00000	0.5	 360.0	2414.0	2803.0	2054.0	71.29462	pakiŋ	mark14vox_ker	219859.989	220219.989	0.66666667
146	i	220599.989	220749.989	22242746-4dd6-11ea-9772-73579cec3763	0000	mark14vox_ker	2554	2554	phone	phone	1148	1148	SEGMENT	 9728460	 9735074	44100	220674.989	 75.00000	0.5	 319.0	2283.0	2956.5	3967.0	72.42192	faɗi	mark14vox_ker	220389.989	220749.989	0.79166667
147	i	227179.989	227289.989	22242746-4dd6-11ea-9772-73579cec3763	0000	mark14vox_ker	2612	2612	phone	phone	1206	1206	SEGMENT	10018638	10023488	44100	227234.989	 55.00000	0.5	 387.0	2122.0	2750.0	3774.5	75.75928	ɓasiŋ	mark14vox_ker	226919.989	227349.989	0.73255814
