sl_rowIdx	labels	start	end	db_uuid	session	bundle	start_item_id	end_item_id	level	attribute	start_item_seq_idx	end_item_seq_idx	type	sample_start	sample_end	sample_rate	times_orig	times_rel	times_norm	F1	F2	F3	F4	RMS	word_label	check_bundle	word_start	word_end	position_in_word
125	u	103066.973	103096.973	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark03vox_ker	1202	1202	phone	phone	 587	 587	SEGMENT	 4545254	 4546576	44100	103081.973	 15.00000	0.5	340.0	1138.0	1770.5	2473.5	75.95195	suru	mark03vox_ker	102786.973	103096.973	0.95161290
126	uː	110563.980	110673.980	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark03vox_ker	1278	1278	phone	phone	 663	 663	SEGMENT	 4875872	 4880722	44100	110618.980	 55.00000	0.5	333.5	 849.5	2497.0	3765.5	75.86982	guuduŋ	mark03vox_ker	110523.980	110813.980	0.32758621
127	u	110713.980	110783.980	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark03vox_ker	1280	1280	phone	phone	 665	 665	SEGMENT	 4882487	 4885573	44100	110748.980	 35.00000	0.5	353.0	1186.0	2501.0	3131.5	78.52591	guuduŋ	mark03vox_ker	110523.980	110813.980	0.77586207
128	u	112873.980	112933.980	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark03vox_ker	1295	1295	phone	phone	 680	 680	SEGMENT	 4977743	 4980388	44100	112903.980	 30.00000	0.5	384.0	1136.0	2585.0	3968.5	77.89096	turti	mark03vox_ker	112813.980	113143.980	0.27272727
129	u	126376.973	126426.973	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark03vox_ker	1422	1422	phone	phone	 807	 807	SEGMENT	 5573225	 5575429	44100	126401.973	 25.00000	0.5	387.5	1203.5	2567.0	3931.5	78.74843	lupi	mark03vox_ker	126296.973	126496.973	0.52500000
130	u	127066.973	127116.973	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark03vox_ker	1434	1434	phone	phone	 819	 819	SEGMENT	 5603654	 5605858	44100	127091.973	 25.00000	0.5	378.5	 861.0	2596.0	3742.0	74.52525	kumsi	mark03vox_ker	126996.973	127326.973	0.28787879
131	u	130686.973	130726.973	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark03vox_ker	1475	1475	phone	phone	 860	 860	SEGMENT	 5763296	 5765059	44100	130706.973	 20.00000	0.5	364.5	1344.5	2501.0	3848.5	76.24574	suru	mark03vox_ker	130576.973	130876.973	0.43333333
132	u	130766.973	130876.973	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark03vox_ker	1477	1477	phone	phone	 862	 862	SEGMENT	 5766824	 5771674	44100	130821.973	 55.00000	0.5	371.0	 974.5	2532.0	3689.0	76.47242	suru	mark03vox_ker	130576.973	130876.973	0.81666667
133	u	159093.980	159153.980	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark03vox_ker	1607	1607	phone	phone	 992	 992	SEGMENT	 7016045	 7018690	44100	159123.980	 30.00000	0.5	372.5	1229.5	2510.0	3636.5	77.10688	suru	mark03vox_ker	158973.980	159223.980	0.60000000
134	u	159193.980	159223.980	a3256ef8-4da0-11ea-972e-2f57945d1489	0000	mark03vox_ker	1609	1609	phone	phone	 994	 994	SEGMENT	 7020455	 7021777	44100	159208.980	 15.00000	0.5	385.5	1167.0	2049.0	2622.5	77.05984	suru	mark03vox_ker	158973.980	159223.980	0.94000000
